unique_im,stim_pos,stim_pos_i,orient_deg,orient_i,contrast,contrast_i,phase_deg,phase_i,delta_deg,delta_i,is_specialcore
203,left,1,168.75,8,0.8,3,270,4,-15,1,0
140,right,2,168.75,8,0.05,1,270,4,-5,2,0
172,left,1,168.75,8,0.2,2,270,4,-5,2,0
204,right,2,168.75,8,0.8,3,270,4,-5,2,0
141,left,1,168.75,8,0.05,1,270,4,5,3,0
173,right,2,168.75,8,0.2,2,270,4,5,3,0
205,left,1,168.75,8,0.8,3,270,4,5,3,0
142,right,2,168.75,8,0.05,1,270,4,15,4,0
174,left,1,168.75,8,0.2,2,270,4,15,4,0
206,right,2,168.75,8,0.8,3,270,4,15,4,0
