filename,unique_im,stim_pos_name,stim_pos,super_cat_name,super_cat,basic_cat_name,basic_cat,sub_cat_name,sub_cat,affordance_name,affordance_cat,is_specialcore,base_rot,abs_rot,rel_rot,facing_dir,rel_rot_name
tools_brush_rot04.png,400,left,1,object,3,tool,1,brush,2,grasp,2,0,10,6,-4,sideways,rightward
tools_brush_rot08.png,401,left,1,object,3,tool,1,brush,2,grasp,2,0,10,14,4,sideways,leftward
tools_brush_rot10.png,402,left,1,object,3,tool,1,brush,2,grasp,2,0,10,18,8,sideways,leftward
vehicles_bus_rot32.png,403,right,2,object,3,vehicle,2,bus,3,enter,3,0,70,62,-8,forward,rightward
vehicles_bus_rot34.png,404,right,2,object,3,vehicle,2,bus,3,enter,3,0,70,66,-4,forward,rightward
vehicles_bus_rot38.png,405,right,2,object,3,vehicle,2,bus,3,enter,3,0,70,74,4,forward,leftward
vehicles_bus_rot40.png,406,right,2,object,3,vehicle,2,bus,3,enter,3,0,70,78,8,forward,leftward
vehicles_suv_rot57.png,407,left,1,object,3,vehicle,2,suv,4,enter,3,0,120,112,-8,forward,rightward
vehicles_suv_rot59.png,408,left,1,object,3,vehicle,2,suv,4,enter,3,0,120,116,-4,forward,rightward
vehicles_suv_rot63.png,409,left,1,object,3,vehicle,2,suv,4,enter,3,0,120,124,4,forward,leftward
vehicles_suv_rot65.png,410,left,1,object,3,vehicle,2,suv,4,enter,3,0,120,128,8,forward,leftward
food_pizza_rot82.png,411,right,2,food,4,manmade,1,pizza,1,grasp,2,0,170,162,-8,sideways,rightward
food_pizza_rot84.png,412,right,2,food,4,manmade,1,pizza,1,grasp,2,0,170,166,-4,sideways,rightward
food_pizza_rot88.png,413,right,2,food,4,manmade,1,pizza,1,grasp,2,0,170,174,4,sideways,leftward
food_pizza_rot90.png,414,right,2,food,4,manmade,1,pizza,1,grasp,2,0,170,178,8,sideways,leftward
food_banana_rot52.png,415,left,1,food,4,produce,2,banana,2,grasp,2,0,110,102,-8,forward,rightward
food_banana_rot54.png,416,left,1,food,4,produce,2,banana,2,grasp,2,0,110,106,-4,forward,rightward
food_banana_rot58.png,417,left,1,food,4,produce,2,banana,2,grasp,2,0,110,114,4,forward,leftward
