unique_im,is_specialcore,stim_pos,dot_motdir_deg,dot_motdir_deg_i,dot_coh,dot_coh_i,rel_motdir_deg,rel_motdir_deg_i,is_special_core,dot_pos
25,0,left,22.5,1,0.1,1,0,0,NaN,
207,0,left,7.5,1,0.1,1,-15,1,NaN,
208,0,left,17.5,1,0.1,1,-5,2,NaN,
209,0,left,27.5,1,0.1,1,5,3,NaN,
210,0,left,37.5,1,0.1,1,15,4,NaN,
26,0,right,67.5,2,0.1,1,0,0,NaN,
211,0,right,52.5,2,0.1,1,-15,1,NaN,
212,0,right,62.5,2,0.1,1,-5,2,NaN,
213,0,right,72.5,2,0.1,1,5,3,NaN,
214,0,right,82.5,2,0.1,1,15,4,NaN,
27,0,left,112.5,3,0.1,1,0,0,NaN,
215,0,left,97.5,3,0.1,1,-15,1,NaN,
216,0,left,107.5,3,0.1,1,-5,2,NaN,
217,0,left,117.5,3,0.1,1,5,3,NaN,
218,0,left,127.5,3,0.1,1,15,4,NaN,
28,0,right,157.5,4,0.1,1,0,0,NaN,
219,0,right,142.5,4,0.1,1,-15,1,NaN,
220,0,right,152.5,4,0.1,1,-5,2,NaN,
221,0,right,162.5,4,0.1,1,5,3,NaN,
222,0,right,172.5,4,0.1,1,15,4,NaN,
29,0,left,202.5,5,0.1,1,0,0,NaN,
223,0,left,187.5,5,0.1,1,-15,1,NaN,
224,0,left,197.5,5,0.1,1,-5,2,NaN,
225,0,left,207.5,5,0.1,1,5,3,NaN,
226,0,left,217.5,5,0.1,1,15,4,NaN,
30,0,right,247.5,6,0.1,1,0,0,NaN,
227,0,right,232.5,6,0.1,1,-15,1,NaN,
228,0,right,242.5,6,0.1,1,-5,2,NaN,
229,0,right,252.5,6,0.1,1,5,3,NaN,
230,0,right,262.5,6,0.1,1,15,4,NaN,
31,0,left,292.5,7,0.1,1,0,0,NaN,
231,0,left,277.5,7,0.1,1,-15,1,NaN,
232,0,left,287.5,7,0.1,1,-5,2,NaN,
233,0,left,297.5,7,0.1,1,5,3,NaN,
234,0,left,307.5,7,0.1,1,15,4,NaN,
