unique_im,is_specialcore,stim_pos,dot_motdir_deg,dot_motdir_deg_i,dot_coh,dot_coh_i,rel_motdir_deg,rel_motdir_deg_i,is_special_core,dot_pos
32,0,right,337.5,8,0.1,1,0,0,NaN,
235,0,right,322.5,8,0.1,1,-15,1,NaN,
236,0,right,332.5,8,0.1,1,-5,2,NaN,
237,0,right,342.5,8,0.1,1,5,3,NaN,
238,0,right,352.5,8,0.1,1,15,4,NaN,
33,0,left,22.5,1,0.55,2,0,0,NaN,
239,0,left,7.5,1,0.55,2,-15,1,NaN,
240,0,left,17.5,1,0.55,2,-5,2,NaN,
241,0,left,27.5,1,0.55,2,5,3,NaN,
242,0,left,37.5,1,0.55,2,15,4,NaN,
34,0,right,67.5,2,0.55,2,0,0,NaN,
243,0,right,52.5,2,0.55,2,-15,1,NaN,
244,0,right,62.5,2,0.55,2,-5,2,NaN,
245,0,right,72.5,2,0.55,2,5,3,NaN,
246,0,right,82.5,2,0.55,2,15,4,NaN,
35,0,left,112.5,3,0.55,2,0,0,NaN,
247,0,left,97.5,3,0.55,2,-15,1,NaN,
248,0,left,107.5,3,0.55,2,-5,2,NaN,
249,0,left,117.5,3,0.55,2,5,3,NaN,
250,0,left,127.5,3,0.55,2,15,4,NaN,
36,0,right,157.5,4,0.55,2,0,0,NaN,
251,0,right,142.5,4,0.55,2,-15,1,NaN,
252,0,right,152.5,4,0.55,2,-5,2,NaN,
253,0,right,162.5,4,0.55,2,5,3,NaN,
254,0,right,172.5,4,0.55,2,15,4,NaN,
37,0,left,202.5,5,0.55,2,0,0,NaN,
255,0,left,187.5,5,0.55,2,-15,1,NaN,
256,0,left,197.5,5,0.55,2,-5,2,NaN,
257,0,left,207.5,5,0.55,2,5,3,NaN,
258,0,left,217.5,5,0.55,2,15,4,NaN,
38,0,right,247.5,6,0.55,2,0,0,NaN,
259,0,right,232.5,6,0.55,2,-15,1,NaN,
260,0,right,242.5,6,0.55,2,-5,2,NaN,
261,0,right,252.5,6,0.55,2,5,3,NaN,
262,0,right,262.5,6,0.55,2,15,4,NaN,
39,0,left,292.5,7,0.55,2,0,0,NaN,
263,0,left,277.5,7,0.55,2,-15,1,NaN,
264,0,left,287.5,7,0.55,2,-5,2,NaN,
265,0,left,297.5,7,0.55,2,5,3,NaN,
266,0,left,307.5,7,0.55,2,15,4,NaN,
40,0,right,337.5,8,0.55,2,0,0,NaN,
267,0,right,322.5,8,0.55,2,-15,1,NaN,
268,0,right,332.5,8,0.55,2,-5,2,NaN,
269,0,right,342.5,8,0.55,2,5,3,NaN,
270,0,right,352.5,8,0.55,2,15,4,NaN,
41,1,left,22.5,1,1,3,0,0,NaN,
271,0,left,7.5,1,1,3,-15,1,NaN,
272,0,left,17.5,1,1,3,-5,2,NaN,
273,0,left,27.5,1,1,3,5,3,NaN,
274,0,left,37.5,1,1,3,15,4,NaN,
42,1,right,67.5,2,1,3,0,0,NaN,
275,0,right,52.5,2,1,3,-15,1,NaN,
276,0,right,62.5,2,1,3,-5,2,NaN,
277,0,right,72.5,2,1,3,5,3,NaN,
278,0,right,82.5,2,1,3,15,4,NaN,
43,1,left,112.5,3,1,3,0,0,NaN,
279,0,left,97.5,3,1,3,-15,1,NaN,
280,0,left,107.5,3,1,3,-5,2,NaN,
281,0,left,117.5,3,1,3,5,3,NaN,
282,0,left,127.5,3,1,3,15,4,NaN,
44,1,right,157.5,4,1,3,0,0,NaN,
283,0,right,142.5,4,1,3,-15,1,NaN,
284,0,right,152.5,4,1,3,-5,2,NaN,
285,0,right,162.5,4,1,3,5,3,NaN,
286,0,right,172.5,4,1,3,15,4,NaN,
45,1,left,202.5,5,1,3,0,0,NaN,
287,0,left,187.5,5,1,3,-15,1,NaN,
288,0,left,197.5,5,1,3,-5,2,NaN,
289,0,left,207.5,5,1,3,5,3,NaN,
290,0,left,217.5,5,1,3,15,4,NaN,
46,1,right,247.5,6,1,3,0,0,NaN,
291,0,right,232.5,6,1,3,-15,1,NaN,
292,0,right,242.5,6,1,3,-5,2,NaN,
293,0,right,252.5,6,1,3,5,3,NaN,
294,0,right,262.5,6,1,3,15,4,NaN,
47,1,left,292.5,7,1,3,0,0,NaN,
295,0,left,277.5,7,1,3,-15,1,NaN,
296,0,left,287.5,7,1,3,-5,2,NaN,
297,0,left,297.5,7,1,3,5,3,NaN,
298,0,left,307.5,7,1,3,15,4,NaN,
48,1,right,337.5,8,1,3,0,0,NaN,
299,0,right,322.5,8,1,3,-15,1,NaN,
300,0,right,332.5,8,1,3,-5,2,NaN,
301,0,right,342.5,8,1,3,5,3,NaN,
302,0,right,352.5,8,1,3,15,4,NaN,
