unique_im,stim_pos,stim_pos_i,orient_deg,orient_i,contrast,contrast_i,phase_deg,phase_i,delta_deg,delta_i,is_specialcore,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
499,right,2,78.75,4,0.8,3,270,4,0,0,1,2,107,166,282,247,-1.9470221911673,0.800846995488494,0.383662742068756,1.43682763344461,114.75,294.75,20,NaN,NaN,NaN
500,right,2,78.75,4,0.8,3,270,4,0,0,1,2,83,104,242,264,-1.61326177079731,1.34674719279003,0.600058829640777,1.23747424946732,135,315,20,NaN,NaN,NaN
501,right,2,78.75,4,0.8,3,270,4,0,0,1,2,172,179,288,215,1.78324115623669,0.0599250266343391,0.217258982440089,1.33626621769314,107.5,287.5,20,NaN,NaN,NaN
502,right,2,78.75,4,0.8,3,270,4,0,0,1,2,89,111,253,185,-1.62667296840829,1.23911162333709,0.0682521681566479,0.871829520205889,114,294,20,NaN,NaN,NaN
503,left,1,101.25,5,0.8,3,0,1,0,0,1,1,136,193,320,229,1.79469282089763,0.498005213458488,0.229654787266702,1.7321724133802,101.25,281.25,21,NaN,NaN,NaN
504,left,1,101.25,5,0.8,3,0,1,0,0,1,1,60,166,242,202,-1.98358231338572,1.33155829349927,0.244306127189919,0.802207566326179,101.25,281.25,21,NaN,NaN,NaN
505,left,1,101.25,5,0.8,3,0,1,0,0,1,1,180,121,326,150,-0.974676992435665,0.626966921074549,-0.113218730374332,1.71737467526217,101.25,281.25,21,NaN,NaN,NaN
506,left,1,101.25,5,0.8,3,0,1,0,0,1,1,164,219,280,242,1.20153804177798,0.49717093631074,0.365527318834044,1.38353061073361,101.25,281.25,21,NaN,NaN,NaN
507,left,1,101.25,5,0.8,3,0,1,0,0,1,1,85,146,263,182,-1.83542811619543,1.09442967144127,0.0409678586710312,0.987137178195384,101.25,281.25,21,NaN,NaN,NaN
508,left,1,101.25,5,0.8,3,0,1,0,0,1,1,83,183,291,224,1.99485427218556,1.0636341161431,0.258498901382095,1.40435295641166,101.25,281.25,21,NaN,NaN,NaN
509,left,1,101.25,5,0.8,3,0,1,0,0,1,1,135,174,247,196,-2.00426293223668,0.467822884832806,0.178316087040181,0.834861640206693,101.25,281.25,21,NaN,NaN,NaN
510,left,1,101.25,5,0.8,3,0,1,0,0,1,1,125,149,319,188,-1.72987971075252,0.664354113996595,0.0532327462848837,1.62282384718987,101.25,281.25,21,NaN,NaN,NaN
511,left,1,101.25,5,0.8,3,0,1,0,0,1,1,52,200,224,234,1.92073777014635,1.43849866018674,0.573585860571225,0.845061879442495,101.25,281.25,21,NaN,NaN,NaN
512,left,1,101.25,5,0.8,3,0,1,0,0,1,1,128,83,280,113,-1.32915977604049,1.19594366551952,-0.356208904537232,1.38169873143512,101.25,281.25,21,NaN,NaN,NaN
513,left,1,101.25,5,0.8,3,0,1,0,0,1,2,126,142,273,261,-1.65544609453252,0.691083385167269,0.464911096874087,1.45532096651662,128.75,308.75,21,NaN,NaN,NaN
514,left,1,101.25,5,0.8,3,0,1,0,0,1,2,203,30,323,185,-0.902747553571969,1.68873693390415,0.0394010272894434,1.65927234635501,142.5,322.5,21,NaN,NaN,NaN
515,left,1,101.25,5,0.8,3,0,1,0,0,1,2,175,53,283,123,-1.02884628645938,1.40301558217717,-0.300241940816828,1.35447150590643,123,303,21,NaN,NaN,NaN
516,left,1,101.25,5,0.8,3,0,1,0,0,1,2,139,183,308,125,1.93069824189044,0.426684188366524,-0.243339789370926,1.60088505781213,71,251,21,NaN,NaN,NaN
517,left,1,101.25,5,0.8,3,0,1,0,0,1,2,164,259,237,101,1.12104743245738,0.942430750211695,-0.580871743607771,1.10009173401154,25,205,21,NaN,NaN,NaN
518,left,1,101.25,5,0.8,3,0,1,0,0,1,2,102,262,179,34,1.48338539309766,1.28398670964367,-1.01025553841339,1.61316902237461,18.5,198.5,21,NaN,NaN,NaN
519,left,1,101.25,5,0.8,3,0,1,0,0,1,2,143,164,207,273,-1.81542064157315,0.400922117385108,0.823670922751983,1.15171975972513,149.75,329.75,21,NaN,NaN,NaN
520,left,1,101.25,5,0.8,3,0,1,0,0,1,2,197,277,250,43,0.892939692474945,1.16737765452337,-0.695330738791806,1.73021468222002,12.75,192.75,21,NaN,NaN,NaN
521,left,1,101.25,5,0.8,3,0,1,0,0,1,2,126,128,125,266,-1.5488545680202,0.793014867825766,1.35987023454734,1.16842824026829,180.25,360.25,21,NaN,NaN,NaN
522,left,1,101.25,5,0.8,3,0,1,0,0,1,2,233,253,283,101,0.607220546462046,1.07805972892927,-0.400480589978122,1.48154670474107,18.25,198.25,21,NaN,NaN,NaN
523,right,2,123.75,6,0.8,3,90,2,0,0,1,1,112,41,255,137,-1.31008171440142,1.70616859567009,-0.302337479795184,1.00211410478003,123.75,303.75,22,NaN,NaN,NaN
524,right,2,123.75,6,0.8,3,90,2,0,0,1,1,74,153,215,247,-1.89445870106698,1.18758393130575,0.694385619403658,0.914587629871483,123.75,303.75,22,NaN,NaN,NaN
525,right,2,123.75,6,0.8,3,90,2,0,0,1,1,143,39,272,125,-1.17383664884337,1.60819701689858,-0.320778904881927,1.23544613482392,123.75,303.75,22,NaN,NaN,NaN
526,right,2,123.75,6,0.8,3,90,2,0,0,1,1,48,106,195,204,-1.71496346372388,1.65901949388,0.638566965848911,0.37618922985543,123.75,303.75,22,NaN,NaN,NaN
527,right,2,123.75,6,0.8,3,90,2,0,0,1,1,59,124,193,214,-1.76962302448864,1.45788097660968,0.751797602610117,0.461763790110877,123.75,303.75,22,NaN,NaN,NaN
528,right,2,123.75,6,0.8,3,90,2,0,0,1,1,89,202,245,307,1.85662843128819,1.03629701123041,0.704332039757173,1.67133877198141,123.75,303.75,22,NaN,NaN,NaN
529,right,2,123.75,6,0.8,3,90,2,0,0,1,1,48,105,191,201,-1.71059450968081,1.67182381875259,0.662781112126303,0.321308769306878,123.75,303.75,22,NaN,NaN,NaN
530,right,2,123.75,6,0.8,3,90,2,0,0,1,1,118,44,314,175,-1.29057754754136,1.64660736307006,-0.00762463335749207,1.56227236980448,123.75,303.75,22,NaN,NaN,NaN
531,right,2,123.75,6,0.8,3,90,2,0,0,1,1,156,73,304,172,-1.14710404952543,1.19442188846966,-0.0235453121547382,1.44511560461034,123.75,303.75,22,NaN,NaN,NaN
532,right,2,123.75,6,0.8,3,90,2,0,0,1,1,202,117,309,189,-0.755846936779303,0.733152391908748,0.059636276121837,1.51166737673386,123.75,303.75,22,NaN,NaN,NaN
533,right,2,123.75,6,0.8,3,90,2,0,0,1,2,152,46,188,251,-1.14367291037703,1.50291076577648,0.924274126725346,0.855241332485673,170,350,22,NaN,NaN,NaN
534,right,2,123.75,6,0.8,3,90,2,0,0,1,2,177,256,305,255,1.01439886799135,0.905385566732611,0.356005877553611,1.70159125453707,89.25,269.25,22,NaN,NaN,NaN
535,right,2,123.75,6,0.8,3,90,2,0,0,1,2,227,99,253,276,-0.646522694265737,1.04887545368954,0.594015433714257,1.42797116154373,171.5,351.5,22,NaN,NaN,NaN
536,right,2,123.75,6,0.8,3,90,2,0,0,1,2,184,182,277,112,0.39699097156328,0.109007879557985,-0.372378885450657,1.35021820598583,52.75,232.75,22,NaN,NaN,NaN
537,right,2,123.75,6,0.8,3,90,2,0,0,1,2,128,49,224,316,-1.25502892517127,1.54874220160687,0.806368293338285,1.66921076987308,160.25,340.25,22,NaN,NaN,NaN
538,right,2,123.75,6,0.8,3,90,2,0,0,1,2,53,223,300,153,1.80838858098513,1.48997028321817,-0.122062935965208,1.42551030340653,74.25,254.25,22,NaN,NaN,NaN
539,right,2,123.75,6,0.8,3,90,2,0,0,1,2,88,199,325,207,1.87952068795525,1.0335497121047,0.132478022538148,1.71907811070741,92,272,22,NaN,NaN,NaN
540,right,2,123.75,6,0.8,3,90,2,0,0,1,2,62,170,300,91,-2.00219759793139,1.30316228552359,-0.392840270293946,1.70544976163677,71.75,251.75,22,NaN,NaN,NaN
541,right,2,123.75,6,0.8,3,90,2,0,0,1,2,170,72,146,326,-1.05907866017849,1.18909762790775,1.15202815924906,1.7320499538784,185.5,365.5,22,NaN,NaN,NaN
542,right,2,123.75,6,0.8,3,90,2,0,0,1,2,178,135,91,266,-1.0013894005537,0.470162492550688,1.51935603194088,1.40376620235831,213.75,393.75,22,NaN,NaN,NaN
543,left,1,146.25,7,0.8,3,180,3,0,0,1,1,113,119,213,269,-1.56315851054377,0.974820730164435,0.775559998857144,1.12899625865394,146.25,326.25,23,NaN,NaN,NaN
544,left,1,146.25,7,0.8,3,180,3,0,0,1,1,179,176,250,283,-0.135769055454109,0.0289600306039189,0.625919585294477,1.46692082996084,146.25,326.25,23,NaN,NaN,NaN
545,left,1,146.25,7,0.8,3,180,3,0,0,1,1,107,167,211,324,-1.95249136506182,0.800727572509443,0.869793943556739,1.71429979145984,146.25,326.25,23,NaN,NaN,NaN
546,left,1,146.25,7,0.8,3,180,3,0,0,1,1,137,100,201,195,-1.32625754672323,0.977299279456632,0.419113391580823,0.349694361729742,146.25,326.25,23,NaN,NaN,NaN
547,left,1,146.25,7,0.8,3,180,3,0,0,1,1,54,93,182,285,-1.65272195532415,1.68288367542599,0.985226849396843,1.23725046737497,146.25,326.25,23,NaN,NaN,NaN
548,left,1,146.25,7,0.8,3,180,3,0,0,1,1,224,84,311,214,-0.712845750508133,1.17929624848356,0.177064108080136,1.5820411210945,146.25,326.25,23,NaN,NaN,NaN
549,left,1,146.25,7,0.8,3,180,3,0,0,1,1,127,165,205,282,-1.89690345771029,0.576726343324638,0.849436979951756,1.24154046708842,146.25,326.25,23,NaN,NaN,NaN
550,left,1,146.25,7,0.8,3,180,3,0,0,1,1,164,89,252,222,-1.11396375048731,1.00268843779474,0.348205783260323,1.00152372226513,146.25,326.25,23,NaN,NaN,NaN
551,left,1,146.25,7,0.8,3,180,3,0,0,1,1,106,157,190,283,-1.86289524026743,0.829005792614442,0.937083025761403,1.21219532243854,146.25,326.25,23,NaN,NaN,NaN
552,left,1,146.25,7,0.8,3,180,3,0,0,1,1,95,204,169,316,1.82841984423209,0.97987573130142,1.0552889155362,1.57950234878366,146.25,326.25,23,NaN,NaN,NaN
553,left,1,146.25,7,0.8,3,180,3,0,0,1,2,56,192,250,309,1.95528294386633,1.37605422301878,0.692383135248224,1.71250292244311,121,301,23,NaN,NaN,NaN
554,left,1,146.25,7,0.8,3,180,3,0,0,1,2,98,174,250,260,-2.02099580273461,0.895683116119394,0.548370777368151,1.26243625273321,119.25,299.25,23,NaN,NaN,NaN
555,left,1,146.25,7,0.8,3,180,3,0,0,1,2,241,113,116,300,-0.504384929093045,1.02718165238415,1.31567517218685,1.55932990917433,213.75,393.75,23,NaN,NaN,NaN
556,left,1,146.25,7,0.8,3,180,3,0,0,1,2,138,181,286,89,1.97295591412265,0.437874635403054,-0.438209220565977,1.58416052393887,58.25,238.25,23,NaN,NaN,NaN
557,left,1,146.25,7,0.8,3,180,3,0,0,1,2,210,62,77,290,-0.837311138500604,1.35527094483513,1.48941055643697,1.71394170950255,210.25,390.25,23,NaN,NaN,NaN
558,left,1,146.25,7,0.8,3,180,3,0,0,1,2,143,41,96,205,-1.18038511384606,1.58040928066929,1.82412092137915,0.969067669964034,196,376,23,NaN,NaN,NaN
559,left,1,146.25,7,0.8,3,180,3,0,0,1,2,207,51,229,221,-0.866579930829575,1.46471513154579,0.457195661127008,0.784462891426917,172.5,352.5,23,NaN,NaN,NaN
560,left,1,146.25,7,0.8,3,180,3,0,0,1,2,135,126,315,215,-1.46647214192448,0.737525840755441,0.17520076847363,1.62750478302941,116.25,296.25,23,NaN,NaN,NaN
561,left,1,146.25,7,0.8,3,180,3,0,0,1,2,215,143,60,251,-0.468360069463252,0.577120962239318,1.67044991761094,1.56817294060962,235,415,23,NaN,NaN,NaN
562,left,1,146.25,7,0.8,3,180,3,0,0,1,2,184,58,92,202,-0.980977703697931,1.34751142578747,1.84836398370335,1.00615893840725,212.5,392.5,23,NaN,NaN,NaN
563,right,2,168.75,8,0.8,3,270,4,0,0,1,1,151,166,174,281,-1.79125520163246,0.306873776831631,1.03537815742388,1.17977701950884,168.75,348.75,24,NaN,NaN,NaN
564,right,2,168.75,8,0.8,3,270,4,0,0,1,1,151,95,186,272,-1.22118089340198,0.965990448329408,0.957713582352288,1.08984138943255,168.75,348.75,24,NaN,NaN,NaN
565,right,2,168.75,8,0.8,3,270,4,0,0,1,1,181,36,233,299,-1.00027845115718,1.59112057643335,0.738903272730367,1.52778689821884,168.75,348.75,24,NaN,NaN,NaN
566,right,2,168.75,8,0.8,3,270,4,0,0,1,1,140,45,195,324,-1.19819352215484,1.54940652822198,0.939098020324067,1.68225036942641,168.75,348.75,24,NaN,NaN,NaN
567,right,2,168.75,8,0.8,3,270,4,0,0,1,1,148,115,190,329,-1.30432674815782,0.766839867075481,0.961441839479881,1.73591809777924,168.75,348.75,24,NaN,NaN,NaN
568,right,2,168.75,8,0.8,3,270,4,0,0,1,1,199,110,236,300,-0.814097484008511,0.799481249741084,0.726831359444478,1.55432211578714,168.75,348.75,24,NaN,NaN,NaN
569,right,2,168.75,8,0.8,3,270,4,0,0,1,1,250,72,284,246,-0.623693402511651,1.4455060478502,0.372465314493316,1.45389736449379,168.75,348.75,24,NaN,NaN,NaN
570,right,2,168.75,8,0.8,3,270,4,0,0,1,1,200,36,237,222,-0.912225997010372,1.6206606410179,0.416235662351054,0.859426837934589,168.75,348.75,24,NaN,NaN,NaN
571,right,2,168.75,8,0.8,3,270,4,0,0,1,1,177,67,215,258,-1.01836097277794,1.23901664496346,0.734773189171223,1.01944561784422,168.75,348.75,24,NaN,NaN,NaN
572,right,2,168.75,8,0.8,3,270,4,0,0,1,1,179,170,209,324,-0.828821454623901,0.0793615675940353,0.878772088935973,1.71457738687105,168.75,348.75,24,NaN,NaN,NaN
573,right,2,168.75,8,0.8,3,270,4,0,0,1,2,61,139,250,142,-1.83918648413343,1.37683934763498,-0.287010765643816,0.919049497892257,90.75,270.75,24,NaN,NaN,NaN
574,right,2,168.75,8,0.8,3,270,4,0,0,1,2,254,110,119,264,-0.46044905108116,1.15770154630507,1.39844830802488,1.18988233974149,221.25,401.25,24,NaN,NaN,NaN
575,right,2,168.75,8,0.8,3,270,4,0,0,1,2,203,28,124,247,-0.905129027854523,1.70786573967739,1.43952340781239,0.999367562455992,200,380,24,NaN,NaN,NaN
576,right,2,168.75,8,0.8,3,270,4,0,0,1,2,104,279,304,248,1.42042693742698,1.42428029113652,0.332881593908676,1.65971066411649,81.25,261.25,24,NaN,NaN,NaN
577,right,2,168.75,8,0.8,3,270,4,0,0,1,2,239,54,40,148,-0.713999152368171,1.56077676350174,-1.9058173167563,1.58011243735472,244.75,424.75,24,NaN,NaN,NaN
578,right,2,168.75,8,0.8,3,270,4,0,0,1,2,176,91,76,257,-1.0232192298134,0.965728582821106,1.60354115353749,1.46318518604592,211.25,391.25,24,NaN,NaN,NaN
579,right,2,168.75,8,0.8,3,270,4,0,0,1,2,264,72,36,228,-0.567688150167409,1.54467068269708,1.81524377618832,1.70013457984181,235.75,415.75,24,NaN,NaN,NaN
580,right,2,168.75,8,0.8,3,270,4,0,0,1,2,238,223,111,311,0.424326916515542,0.875855954809441,1.31367168404164,1.69859319186919,235.25,415.25,24,NaN,NaN,NaN
581,right,2,168.75,8,0.8,3,270,4,0,0,1,2,26,149,269,270,-1.92249556978053,1.73042516972513,0.513235432524494,1.48690476514567,116.5,296.5,24,NaN,NaN,NaN
582,right,2,168.75,8,0.8,3,270,4,0,0,1,2,161,28,293,245,-1.0889558649506,1.69466178014727,0.346447380366022,1.52796014158729,148.75,328.75,24,NaN,NaN,NaN
