unique_im,stim_pos,stim_pos_i,angle_deg,angle_i,eccen_deg,angle_rad,delta_deg,delta_i,dot_xpos_pix,dot_ypos_pix,is_specialcore
49,right,2,11.25,1,4,0.196349540849362,0,0,910,851,1
50,right,2,33.75,2,4,0.589048622548086,0,0,818,813,0
51,right,2,56.25,3,4,0.98174770424681,0,0,747,742,1
52,right,2,78.75,4,4,1.37444678594553,0,0,709,650,0
53,right,2,101.25,5,4,1.76714586764426,0,0,709,550,1
54,right,2,123.75,6,4,2.15984494934298,0,0,747,458,0
55,right,2,146.25,7,4,2.55254403104171,0,0,818,387,1
56,right,2,168.75,8,4,2.94524311274043,0,0,910,349,0
57,left,1,191.25,9,4,3.33794219443916,0,0,1010,349,1
58,left,1,213.75,10,4,3.73064127613788,0,0,1102,387,0
59,left,1,236.25,11,4,4.1233403578366,0,0,1173,458,1
60,left,1,258.75,12,4,4.51603943953533,0,0,1211,550,0
61,left,1,281.25,13,4,4.90873852123405,0,0,1211,650,1
62,left,1,303.75,14,4,5.30143760293278,0,0,1173,742,0
63,left,1,326.25,15,4,5.6941366846315,0,0,1102,813,1
64,left,1,348.75,16,4,6.08683576633022,0,0,1010,851,0
175,right,2,359.25,1,4,6.27009533778963,-12,1,963,856,0
179,right,2,21.75,2,4,0.379609112308767,-12,1,865,837,0
183,right,2,44.25,3,4,0.772308194007491,-12,1,782,783,0
187,right,2,66.75,4,4,1.16500727570621,-12,1,725,701,0
191,right,2,89.25,5,4,1.55770635740494,-12,1,704,603,0
195,right,2,111.75,6,4,1.95040543910366,-12,1,723,505,0
199,right,2,134.25,7,4,2.34310452080239,-12,1,777,422,0
203,right,2,156.75,8,4,2.73580360250111,-12,1,859,365,0
207,left,1,179.25,9,4,3.12850268419984,-12,1,957,344,0
211,left,1,201.75,10,4,3.52120176589856,-12,1,1055,363,0
215,left,1,224.25,11,4,3.91390084759728,-12,1,1138,417,0
219,left,1,246.75,12,4,4.30659992929601,-12,1,1195,499,0
223,left,1,269.25,13,4,4.69929901099473,-12,1,1216,597,0
227,left,1,291.75,14,4,5.09199809269346,-12,1,1197,695,0
231,left,1,314.25,15,4,5.48469717439218,-12,1,1143,778,0
235,left,1,336.75,16,4,5.8773962560909,-12,1,1061,835,0
176,right,2,5.25,1,4,0.0916297857297023,-6,2,937,855,0
180,right,2,27.75,2,4,0.484328867428426,-6,2,841,826,0
184,right,2,50.25,3,4,0.877027949127151,-6,2,763,763,0
188,right,2,72.75,4,4,1.26972703082587,-6,2,716,676,0
192,right,2,95.25,5,4,1.6624261125246,-6,2,705,577,0
196,right,2,117.75,6,4,2.05512519422332,-6,2,734,481,0
200,right,2,140.25,7,4,2.44782427592205,-6,2,797,403,0
204,right,2,162.75,8,4,2.84052335762077,-6,2,884,356,0
208,left,1,185.25,9,4,3.2332224393195,-6,2,983,345,0
212,left,1,207.75,10,4,3.62592152101822,-6,2,1079,374,0
216,left,1,230.25,11,4,4.01862060271694,-6,2,1157,437,0
220,left,1,252.75,12,4,4.41131968441567,-6,2,1204,524,0
224,left,1,275.25,13,4,4.80401876611439,-6,2,1215,623,0
228,left,1,297.75,14,4,5.19671784781312,-6,2,1186,719,0
232,left,1,320.25,15,4,5.58941692951184,-6,2,1123,797,0
236,left,1,342.75,16,4,5.98211601121056,-6,2,1036,844,0
177,right,2,17.25,1,4,0.301069295969022,6,3,884,844,0
181,right,2,39.75,2,4,0.693768377667746,6,3,797,797,0
185,right,2,62.25,3,4,1.08646745936647,6,3,734,719,0
189,right,2,84.75,4,4,1.47916654106519,6,3,705,623,0
193,right,2,107.25,5,4,1.87186562276392,6,3,716,524,0
197,right,2,129.75,6,4,2.26456470446264,6,3,763,437,0
201,right,2,152.25,7,4,2.65726378616137,6,3,841,374,0
205,right,2,174.75,8,4,3.04996286786009,6,3,937,345,0
209,left,1,197.25,9,4,3.44266194955881,6,3,1036,356,0
213,left,1,219.75,10,4,3.83536103125754,6,3,1123,403,0
217,left,1,242.25,11,4,4.22806011295626,6,3,1186,481,0
221,left,1,264.75,12,4,4.62075919465499,6,3,1215,577,0
225,left,1,287.25,13,4,5.01345827635371,6,3,1204,676,0
229,left,1,309.75,14,4,5.40615735805244,6,3,1157,763,0
233,left,1,332.25,15,4,5.79885643975116,6,3,1079,826,0
237,left,1,354.75,16,4,6.19155552144988,6,3,983,855,0
178,right,2,23.25,1,4,0.405789051088682,12,4,859,835,0
182,right,2,45.75,2,4,0.798488132787406,12,4,777,778,0
186,right,2,68.25,3,4,1.19118721448613,12,4,723,695,0
190,right,2,90.75,4,4,1.58388629618485,12,4,704,597,0
194,right,2,113.25,5,4,1.97658537788358,12,4,725,499,0
198,right,2,135.75,6,4,2.3692844595823,12,4,782,417,0
202,right,2,158.25,7,4,2.76198354128103,12,4,865,363,0
206,right,2,180.75,8,4,3.15468262297975,12,4,963,344,0
210,left,1,203.25,9,4,3.54738170467847,12,4,1061,365,0
214,left,1,225.75,10,4,3.9400807863772,12,4,1143,422,0
218,left,1,248.25,11,4,4.33277986807592,12,4,1197,505,0
222,left,1,270.75,12,4,4.72547894977465,12,4,1216,603,0
226,left,1,293.25,13,4,5.11817803147337,12,4,1195,701,0
230,left,1,315.75,14,4,5.5108771131721,12,4,1138,783,0
234,left,1,338.25,15,4,5.90357619487082,12,4,1055,837,0
238,left,1,360.75,16,4,6.29627527656954,12,4,957,856,0
