filename,unique_im,stim_pos_name,stim_pos,super_cat_name,super_cat,basic_cat_name,basic_cat,sub_cat_name,sub_cat,affordance_name,affordance_cat,is_specialcore,base_rot,abs_rot,rel_rot,facing_dir,rel_rot_name
faces_damonwayans_rot30.png,65,left,1,human,1,facemale,1,damon,1,greet,1,1,58,58,0,forward,none
faces_lisa_rot20.png,66,right,2,human,1,facefemale,2,lisa,2,greet,1,0,38,38,0,sideways,none
faces_sophia_rot72.png,67,left,1,human,1,facefemale,2,sophia,3,greet,1,1,142,142,0,sideways,none
animals_parrot_rot17.png,68,right,2,animal,2,small,1,parrot,1,greet,1,0,32,32,0,sideways,none
animals_cat_rot69.png,69,left,1,animal,2,small,1,cat,2,greet,1,1,136,136,0,sideways,none
animals_bear_rot59.png,70,right,2,animal,2,large,2,bear,3,observe,4,0,116,116,0,forward,none
animals_giraffe_rot24.png,71,left,1,animal,2,large,2,giraffe,4,observe,4,1,46,46,0,forward,none
tools_drill_rot78.png,72,right,2,object,3,tool,1,drill,1,grasp,2,1,154,154,0,sideways,none
tools_brush_rot14.png,73,left,1,object,3,tool,1,brush,2,grasp,2,0,26,26,0,sideways,none
vehicles_bus_rot33.png,74,right,2,object,3,vehicle,2,bus,3,enter,3,1,64,64,0,forward,none
vehicles_suv_rot65.png,75,left,1,object,3,vehicle,2,suv,4,enter,3,0,128,128,0,forward,none
food_pizza_rot23.png,76,right,2,food,4,manmade,1,pizza,1,grasp,2,1,44,44,0,sideways,none
food_banana_rot62.png,77,left,1,food,4,produce,2,banana,2,grasp,2,0,122,122,0,forward,none
places_gothicchurch_rot75.png,78,right,2,place,5,building,1,church,1,enter,3,1,148,148,0,sideways,none
places_house1_rot27.png,79,left,1,place,5,building,1,house,2,enter,3,0,52,52,0,forward,none
places_watertower_rot68.png,80,right,2,place,5,building,1,watertower,3,observe,4,0,134,134,0,forward,none
