filename,unique_im,stim_pos_name,stim_pos,super_cat_name,super_cat,basic_cat_name,basic_cat,sub_cat_name,sub_cat,affordance_name,affordance_cat,is_specialcore,is_objectcatch,base_rot,abs_rot,rel_rot,facing_dir,rel_rot_name
animals_bear_rot42.png,1527,right,2,animal,2,large,2,bear,3,observe,4,0,1,82,82,0,forward,none
animals_bear_rot71.png,1528,right,2,animal,2,large,2,bear,3,observe,4,0,1,140,140,0,sideways,none
animals_bear_rot80.png,1529,right,2,animal,2,large,2,bear,3,observe,4,0,1,158,158,0,sideways,none
animals_bear_rot83.png,1530,right,2,animal,2,large,2,bear,3,observe,4,0,1,164,164,0,sideways,none
animals_giraffe_rot04.png,1531,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,6,6,0,sideways,none
animals_giraffe_rot10.png,1532,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,18,18,0,sideways,none
animals_giraffe_rot11.png,1533,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,20,20,0,sideways,none
animals_giraffe_rot12.png,1534,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,22,22,0,sideways,none
animals_giraffe_rot17.png,1535,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,32,32,0,sideways,none
animals_giraffe_rot48.png,1536,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,94,94,0,forward,none
animals_giraffe_rot51.png,1537,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,100,100,0,forward,none
animals_giraffe_rot56.png,1538,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,110,110,0,forward,none
animals_giraffe_rot60.png,1539,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,118,118,0,forward,none
animals_giraffe_rot63.png,1540,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,124,124,0,forward,none
animals_giraffe_rot67.png,1541,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,132,132,0,forward,none
animals_giraffe_rot70.png,1542,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,138,138,0,sideways,none
animals_giraffe_rot72.png,1543,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,142,142,0,sideways,none
animals_giraffe_rot77.png,1544,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,152,152,0,sideways,none
animals_giraffe_rot80.png,1545,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,158,158,0,sideways,none
animals_giraffe_rot85.png,1546,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,168,168,0,sideways,none
animals_giraffe_rot86.png,1547,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,170,170,0,sideways,none
animals_giraffe_rot90.png,1548,left,1,animal,2,large,2,giraffe,4,observe,4,0,1,178,178,0,sideways,none
tools_drill_rot02.png,1549,right,2,object,3,tool,1,drill,1,grasp,2,0,1,2,2,0,sideways,none
tools_drill_rot04.png,1550,right,2,object,3,tool,1,drill,1,grasp,2,0,1,6,6,0,sideways,none
tools_drill_rot10.png,1551,right,2,object,3,tool,1,drill,1,grasp,2,0,1,18,18,0,sideways,none
tools_drill_rot11.png,1552,right,2,object,3,tool,1,drill,1,grasp,2,0,1,20,20,0,sideways,none
tools_drill_rot14.png,1553,right,2,object,3,tool,1,drill,1,grasp,2,0,1,26,26,0,sideways,none
tools_drill_rot15.png,1554,right,2,object,3,tool,1,drill,1,grasp,2,0,1,28,28,0,sideways,none
tools_drill_rot19.png,1555,right,2,object,3,tool,1,drill,1,grasp,2,0,1,36,36,0,sideways,none
tools_drill_rot22.png,1556,right,2,object,3,tool,1,drill,1,grasp,2,0,1,42,42,0,sideways,none
tools_drill_rot27.png,1557,right,2,object,3,tool,1,drill,1,grasp,2,0,1,52,52,0,forward,none
tools_drill_rot29.png,1558,right,2,object,3,tool,1,drill,1,grasp,2,0,1,56,56,0,forward,none
tools_drill_rot31.png,1559,right,2,object,3,tool,1,drill,1,grasp,2,0,1,60,60,0,forward,none
tools_drill_rot38.png,1560,right,2,object,3,tool,1,drill,1,grasp,2,0,1,74,74,0,forward,none
tools_drill_rot41.png,1561,right,2,object,3,tool,1,drill,1,grasp,2,0,1,80,80,0,forward,none
tools_drill_rot42.png,1562,right,2,object,3,tool,1,drill,1,grasp,2,0,1,82,82,0,forward,none
tools_drill_rot69.png,1563,right,2,object,3,tool,1,drill,1,grasp,2,0,1,136,136,0,sideways,none
tools_drill_rot72.png,1564,right,2,object,3,tool,1,drill,1,grasp,2,0,1,142,142,0,sideways,none
tools_drill_rot81.png,1565,right,2,object,3,tool,1,drill,1,grasp,2,0,1,160,160,0,sideways,none
tools_drill_rot86.png,1566,right,2,object,3,tool,1,drill,1,grasp,2,0,1,170,170,0,sideways,none
tools_brush_rot24.png,1567,left,1,object,3,tool,1,brush,2,grasp,2,0,1,46,46,0,forward,none
tools_brush_rot25.png,1568,left,1,object,3,tool,1,brush,2,grasp,2,0,1,48,48,0,forward,none
tools_brush_rot42.png,1569,left,1,object,3,tool,1,brush,2,grasp,2,0,1,82,82,0,forward,none
tools_brush_rot45.png,1570,left,1,object,3,tool,1,brush,2,grasp,2,0,1,88,88,0,forward,none
tools_brush_rot49.png,1571,left,1,object,3,tool,1,brush,2,grasp,2,0,1,96,96,0,forward,none
tools_brush_rot53.png,1572,left,1,object,3,tool,1,brush,2,grasp,2,0,1,104,104,0,forward,none
tools_brush_rot56.png,1573,left,1,object,3,tool,1,brush,2,grasp,2,0,1,110,110,0,forward,none
tools_brush_rot57.png,1574,left,1,object,3,tool,1,brush,2,grasp,2,0,1,112,112,0,forward,none
tools_brush_rot62.png,1575,left,1,object,3,tool,1,brush,2,grasp,2,0,1,122,122,0,forward,none
tools_brush_rot63.png,1576,left,1,object,3,tool,1,brush,2,grasp,2,0,1,124,124,0,forward,none
tools_brush_rot65.png,1577,left,1,object,3,tool,1,brush,2,grasp,2,0,1,128,128,0,forward,none
tools_brush_rot68.png,1578,left,1,object,3,tool,1,brush,2,grasp,2,0,1,134,134,0,forward,none
tools_brush_rot70.png,1579,left,1,object,3,tool,1,brush,2,grasp,2,0,1,138,138,0,sideways,none
tools_brush_rot72.png,1580,left,1,object,3,tool,1,brush,2,grasp,2,0,1,142,142,0,sideways,none
